Event.ID,UTC.Offset,Start.DateTime.UTC,End.DateTime.UTC,Start.DateTime.Local,End.DateTime.Local,Start.Date.Local,Start.Time.Local,Event.Duration,eventType,comment,SRKW,Transient,Uncertain 
2067,7:00,2020-09-24 9:49,2020-09-24 10:21,2020-09-24 2:49,2020-09-24 3:21,2020-09-24,2:49:51,0:31:37, Killer Whale,SRKW,1,0,0
2162,7:00,2020-09-28 3:16,2020-09-28 3:28,2020-09-27 20:16,2020-09-27 20:28,2020-09-27,20:16:35,0:12:19, Killer Whale,SRKW,1,0,0
2185,7:00,2020-09-29 2:42,2020-09-29 3:17,2020-09-28 19:42,2020-09-28 20:17,2020-09-28,19:42:15,0:34:59, Killer Whale,SRKW,1,0,0
2207,7:00,2020-09-30 9:18,2020-09-30 9:56,2020-09-30 2:18,2020-09-30 2:56,2020-09-30,2:18:31,0:37:40, Killer Whale,SRKW,1,0,0
2306,7:00,2020-10-04 18:20,2020-10-04 19:16,2020-10-04 11:20,2020-10-04 12:16,2020-10-04,11:20:20,0:56:12, Killer Whale,SRKW,1,0,0
2359,7:00,2020-10-07 5:09,2020-10-07 5:50,2020-10-06 22:09,2020-10-06 22:50,2020-10-06,22:09:01,0:41:39, Killer Whale,SRKW,1,0,0
2360,7:00,2020-10-07 9:45,2020-10-07 11:08,2020-10-07 2:45,2020-10-07 4:08,2020-10-07,2:45:48,1:22:59, Killer Whale,SRKW,1,0,0
2369,7:00,2020-10-07 14:53,2020-10-07 15:13,2020-10-07 7:53,2020-10-07 8:13,2020-10-07,7:53:17,0:20:38, Killer Whale,SRKW,1,0,0
2573,7:00,2020-10-20 3:30,2020-10-20 4:20,2020-10-19 20:30,2020-10-19 21:20,2020-10-19,20:30:26,0:49:58, Killer Whale,SRKW,1,0,0
2574,7:00,2020-10-20 8:06,2020-10-20 8:20,2020-10-20 1:06,2020-10-20 1:20,2020-10-20,1:06:21,0:14:37, Killer Whale,Unknown,0,0,1
2726,7:00,2020-10-30 10:02,2020-10-30 10:47,2020-10-30 3:02,2020-10-30 3:47,2020-10-30,3:02:26,0:44:57, Killer Whale,Unknown,0,0,1
